City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Albany,US,2022-05-31 03:50:53,42.6001,-73.9662,72.45,77,100,3.89
67,Saqqez,IR,2022-05-31 03:59:52,36.2499,46.2735,66.22,46,3,2.75
68,Constitucion,CL,2022-05-31 03:59:52,-35.3333,-72.4167,43.27,65,0,4.94
69,Kavali,IN,2022-05-31 03:59:52,14.9167,79.9833,93.51,44,100,19.77
70,Tiksi,RU,2022-05-31 03:59:53,71.6872,128.8694,30.85,94,100,14.2
71,Olenegorsk,RU,2022-05-31 03:59:53,68.15,33.3,47.93,41,12,4.5
72,Bredasdorp,ZA,2022-05-31 03:59:53,-34.5322,20.0403,51.13,81,2,8.48
73,Eldorado,BR,2022-05-31 03:59:54,-23.7869,-54.2836,58.6,94,100,8.48
74,Talnakh,RU,2022-05-31 03:59:54,69.4865,88.3972,36.21,64,30,9.57
75,Belaya Gora,RU,2022-05-31 03:59:54,68.5333,146.4167,55.31,58,92,10.02
76,Sao Filipe,CV,2022-05-31 03:59:55,14.8961,-24.4956,74.32,84,44,9.78
77,Tabas,IR,2022-05-31 03:59:55,33.5959,56.9244,76.8,16,0,0.47
78,Yellowknife,CA,2022-05-31 03:57:08,62.456,-114.3525,52.32,35,20,6.91
79,Qaanaaq,GL,2022-05-31 03:59:56,77.484,-69.3632,17.22,83,84,6.11
80,Honiara,SB,2022-05-31 03:59:56,-9.4333,159.95,82.8,77,44,2.35
81,Brae,GB,2022-05-31 03:59:56,60.3964,-1.353,46.6,90,48,9.42
82,Nome,US,2022-05-31 03:59:56,64.5011,-165.4064,56.16,62,94,6.62
83,Cape Town,ZA,2022-05-31 03:58:00,-33.9258,18.4232,53.91,90,20,11.5
84,Alirajpur,IN,2022-05-31 03:59:57,22.3031,74.3546,88.0,54,15,16.64
85,Hue,VN,2022-05-31 03:59:57,16.4667,107.6,91.51,62,20,5.75
86,Quatre Cocos,MU,2022-05-31 03:59:58,-20.2078,57.7625,76.08,66,57,17.38
87,Chingirlau,KZ,2022-05-31 03:59:58,51.095,54.0814,61.92,56,51,8.75
88,Cidreira,BR,2022-05-31 03:59:58,-30.1811,-50.2056,48.58,71,18,8.59
89,Bullhead City,US,2022-05-31 03:58:57,35.1478,-114.5683,86.29,11,0,4.61
90,Vaini,TO,2022-05-31 03:59:59,-21.2,-175.2,80.76,78,40,8.05
91,Chuy,UY,2022-05-31 04:01:04,-33.6971,-53.4616,39.7,88,10,7.25
92,Bluff,NZ,2022-05-31 04:01:13,-46.6,168.3333,59.47,71,6,12.82
93,Mancora,PE,2022-05-31 04:01:20,-4.1078,-81.0475,69.69,71,47,6.69
94,Cam Ranh,VN,2022-05-31 04:01:27,11.9214,109.1591,89.56,66,20,6.91
95,Iqaluit,CA,2022-05-31 04:01:30,63.7506,-68.5145,21.09,83,13,5.35
96,Arman,RU,2022-05-31 04:01:34,59.7,150.1667,53.02,62,100,4.74
97,Vardo,NO,2022-05-31 04:01:41,70.3705,31.1107,40.98,93,100,3.44
98,Qaqortoq,GL,2022-05-31 04:01:48,60.7167,-46.0333,37.8,86,100,4.41
99,Vila Franca Do Campo,PT,2022-05-31 04:01:55,37.7167,-25.4333,58.19,81,100,16.4
100,Butaritari,KI,2022-05-31 04:01:58,3.0707,172.7902,82.83,68,44,14.32
101,Avarua,CK,2022-05-31 04:02:16,-21.2078,-159.775,77.05,73,20,5.75
102,Northam,GB,2022-05-31 04:02:22,51.0333,-4.2167,50.67,93,90,6.33
103,Carnarvon,AU,2022-05-31 04:02:25,-24.8667,113.6333,66.67,42,48,22.06
104,Lensk,RU,2022-05-31 04:02:31,60.7253,114.9278,63.95,25,64,6.17
105,Yaan,NG,2022-05-31 04:02:34,7.3833,8.5667,75.02,88,94,6.04
106,Doka,SD,2022-05-31 04:02:35,13.5167,35.7667,83.82,37,21,10.8
107,Thompson,CA,2022-05-31 04:02:36,55.7435,-97.8558,41.4,95,100,11.45
108,Ulladulla,AU,2022-05-31 04:02:37,-35.35,150.4667,58.1,49,7,18.61
109,Umm Lajj,SA,2022-05-31 04:02:37,25.0213,37.2685,84.27,45,0,4.85
